image_id,age,gender,ethnicity
lhdattxcqr,100,0,0
lbhumkpyaq,100,0,0
cafqfjecpw,100,1,0
wpintedrvx,100,1,0
pepixqcuhh,100,1,0
mxymeiwjlh,100,1,0
avjxzcvogv,100,1,0
cdbvuveupn,100,1,0
xenqvdjgtt,100,1,2
itqhqhlxih,100,1,2
uvwntwtnzi,100,1,2
fkynfxchjc,101,0,0
cvwhsnimes,101,1,2
kjaalcrfxe,103,0,2
duwekyhvee,105,0,0
yqmpfcglyf,105,1,0
eeriqagcom,105,1,0
mnuypgzscq,105,1,0
ffsirdziif,105,1,1
gygnfqltyc,10,0,0
myyxouicmo,10,0,0
mcfprnthmw,10,0,0
pfmxfqibbh,10,0,0
jdrueqmdbj,10,0,0
ewwotasqdi,10,0,0
mwcyjpvsxj,10,0,0
gayrtzozpm,10,0,0
eujtuarsrb,10,0,0
ondyypyfrs,10,0,0
zqdhmwgyzm,10,0,0
woeiwsuyrm,10,0,0
nplmbrhpah,10,0,0
jbcaaskimk,10,0,0
lfpdsvdeab,10,0,0
drtateoylv,10,0,0
aghwgkcqjx,10,0,0
rubtwqbmbw,10,0,0
tjmfvnnjfy,10,0,0
irzxojtljj,10,0,0
twwmgymkln,10,0,0
yamtwpeghr,10,0,0
ebcopuayhc,10,0,0
bjxvephnwn,10,0,0
lsstopnncn,10,0,0
eyyqcasxkj,10,0,0
wdlnihgdnr,10,0,0
sjvqmgqkil,10,0,0
kpajgcboem,10,0,0
yitmdjopna,10,0,0
efwrojlscp,10,0,0
kunpdyfaty,10,0,0
destnmwjfc,10,0,0
tvemyzpmsk,10,0,0
fcfekzfdnb,10,0,0
cdpvdctaft,10,0,0
mdckgkzfej,10,0,0
neablmhgoc,10,0,0
zwtwdwqfqx,10,0,0
imxlwywxiy,10,0,0
mtnvqiihmf,10,0,0
hdexiovqwb,10,0,0
twofkcekby,10,0,0
aythbdlpfc,10,0,0
cpgzstzzoi,10,0,0
dcybnomyau,10,0,0
ehxgieknte,10,0,0
uffvrpozwu,10,0,0
lskjjsxtyv,10,0,0
vquicllmul,10,0,0
kysqbltxia,10,0,0
zoieanmtlw,10,0,0
hdybgdakwa,10,0,0
