image_id,label
lhdattxcqr,0
lbhumkpyaq,0
cafqfjecpw,5
wpintedrvx,5
pepixqcuhh,5
mxymeiwjlh,5
avjxzcvogv,5
cdbvuveupn,5
xenqvdjgtt,7
itqhqhlxih,7
uvwntwtnzi,7
fkynfxchjc,0
cvwhsnimes,7
kjaalcrfxe,2
duwekyhvee,0
yqmpfcglyf,5
eeriqagcom,5
mnuypgzscq,5
ffsirdziif,6
gygnfqltyc,0
myyxouicmo,0
mcfprnthmw,0
pfmxfqibbh,0
jdrueqmdbj,0
ewwotasqdi,0
mwcyjpvsxj,0
gayrtzozpm,0
eujtuarsrb,0
ondyypyfrs,0
zqdhmwgyzm,0
woeiwsuyrm,0
nplmbrhpah,0
jbcaaskimk,0
lfpdsvdeab,0
drtateoylv,0
aghwgkcqjx,0
rubtwqbmbw,0
tjmfvnnjfy,0
irzxojtljj,0
twwmgymkln,0
yamtwpeghr,0
ebcopuayhc,0
bjxvephnwn,0
lsstopnncn,0
eyyqcasxkj,0
wdlnihgdnr,0
sjvqmgqkil,0
kpajgcboem,0
yitmdjopna,0
efwrojlscp,0
kunpdyfaty,0
destnmwjfc,0
tvemyzpmsk,0
fcfekzfdnb,0
cdpvdctaft,0
mdckgkzfej,0
neablmhgoc,0
zwtwdwqfqx,0
imxlwywxiy,0
mtnvqiihmf,0
hdexiovqwb,0
twofkcekby,0
aythbdlpfc,0
cpgzstzzoi,0
dcybnomyau,0
ehxgieknte,0
uffvrpozwu,0
lskjjsxtyv,0
vquicllmul,0
kysqbltxia,0
zoieanmtlw,0
hdybgdakwa,0
gmhhvnzzrh,0
stimmkgqlo,0
hirikdgcjv,0
vajubksdfg,0
doenoublom,0
vugkqnrdfq,0
tbnibilhsv,0
ttgujwcogw,0
bqwxakfoag,0
vvuzvnhzjw,0
pznglcobfv,0
axvsjcmoce,0
nzaidcislf,0
iuqozkfqqo,0
zkfnnzcswp,1
rdezeshcig,1
tefpyksdil,1
cmfnojzswk,1
mjsvwnizmb,1
gmyvhmwgao,1
xixgzdoafy,1
fzalwiugac,1
efpfhfvskr,2
ivvcbhsdlc,2
fpjftkhtyq,3
urrrujxidu,3
vefihwdctt,3
tkqprorhfd,3
jfspstbpnr,4
myjzadbyzn,4
